,date,year,month,region,country,no_of_visitor_arrivals,decade,season
5662,1996-03-01,1996,3,Asia,Kuwait,281,90s,Inter-monsoon (Mar-May)
5663,1996-03-01,1996,3,Asia,United Arab Emirates,1081,90s,Inter-monsoon (Mar-May)
5664,1996-03-01,1996,3,Europe,United Kingdom,29122,90s,Inter-monsoon (Mar-May)
5665,1996-03-01,1996,3,Europe,Germany,21450,90s,Inter-monsoon (Mar-May)
5666,1996-03-01,1996,3,Europe,France,7025,90s,Inter-monsoon (Mar-May)
5667,1996-03-01,1996,3,Europe,Italy,3324,90s,Inter-monsoon (Mar-May)
5668,1996-03-01,1996,3,Europe,Netherlands,5662,90s,Inter-monsoon (Mar-May)
5669,1996-03-01,1996,3,Europe,Greece,1039,90s,Inter-monsoon (Mar-May)
5670,1996-03-01,1996,3,Europe,Belgium-luxembourg,1734,90s,Inter-monsoon (Mar-May)
5671,1996-03-01,1996,3,Europe,Switzerland,5195,90s,Inter-monsoon (Mar-May)
5672,1996-03-01,1996,3,Europe,Austria,2117,90s,Inter-monsoon (Mar-May)
5673,1996-03-01,1996,3,Europe,Scandinavia,8993,90s,Inter-monsoon (Mar-May)
5674,1996-03-01,1996,3,Europe,CIS & Eastern Europe,3908,90s,Inter-monsoon (Mar-May)
5675,1996-03-01,1996,3,Americas,USA,34876,90s,Inter-monsoon (Mar-May)
5676,1996-03-01,1996,3,Americas,Canada,6922,90s,Inter-monsoon (Mar-May)
5677,1996-03-01,1996,3,Oceania,Australia,28934,90s,Inter-monsoon (Mar-May)
5678,1996-03-01,1996,3,Oceania,New Zealand,4881,90s,Inter-monsoon (Mar-May)
5680,1996-04-01,1996,4,Asia,Brunei,4063,90s,Inter-monsoon (Mar-May)
5681,1996-04-01,1996,4,Asia,Indonesia,73102,90s,Inter-monsoon (Mar-May)
5682,1996-04-01,1996,4,Asia,Malaysia,57477,90s,Inter-monsoon (Mar-May)
5683,1996-04-01,1996,4,Asia,Philippines,15889,90s,Inter-monsoon (Mar-May)
5684,1996-04-01,1996,4,Asia,Thailand,31643,90s,Inter-monsoon (Mar-May)
5685,1996-04-01,1996,4,Asia,Vietnam,1467,90s,Inter-monsoon (Mar-May)
5686,1996-04-01,1996,4,Asia,Japan,80078,90s,Inter-monsoon (Mar-May)
5687,1996-04-01,1996,4,Asia,Hong Kong,26255,90s,Inter-monsoon (Mar-May)
5688,1996-04-01,1996,4,Asia,"China, People's Republic Of",18288,90s,Inter-monsoon (Mar-May)
5689,1996-04-01,1996,4,Asia,Taiwan,46446,90s,Inter-monsoon (Mar-May)
5690,1996-04-01,1996,4,Asia,"Korea, Republic Of",26761,90s,Inter-monsoon (Mar-May)
5691,1996-04-01,1996,4,Asia,India,17905,90s,Inter-monsoon (Mar-May)
5692,1996-04-01,1996,4,Asia,Pakistan,3903,90s,Inter-monsoon (Mar-May)
5693,1996-04-01,1996,4,Asia,"Sri Lanka, Republic Of",4996,90s,Inter-monsoon (Mar-May)
5694,1996-04-01,1996,4,Asia,Saudi Arabia,1325,90s,Inter-monsoon (Mar-May)
5695,1996-04-01,1996,4,Asia,Kuwait,383,90s,Inter-monsoon (Mar-May)
5696,1996-04-01,1996,4,Asia,United Arab Emirates,1260,90s,Inter-monsoon (Mar-May)
5697,1996-04-01,1996,4,Europe,United Kingdom,27421,90s,Inter-monsoon (Mar-May)
5698,1996-04-01,1996,4,Europe,Germany,17526,90s,Inter-monsoon (Mar-May)
5699,1996-04-01,1996,4,Europe,France,7645,90s,Inter-monsoon (Mar-May)
5700,1996-04-01,1996,4,Europe,Italy,2646,90s,Inter-monsoon (Mar-May)
5701,1996-04-01,1996,4,Europe,Netherlands,5213,90s,Inter-monsoon (Mar-May)
5702,1996-04-01,1996,4,Europe,Greece,994,90s,Inter-monsoon (Mar-May)
5703,1996-04-01,1996,4,Europe,Belgium-luxembourg,1712,90s,Inter-monsoon (Mar-May)
5704,1996-04-01,1996,4,Europe,Switzerland,5266,90s,Inter-monsoon (Mar-May)
5705,1996-04-01,1996,4,Europe,Austria,1810,90s,Inter-monsoon (Mar-May)
5706,1996-04-01,1996,4,Europe,Scandinavia,7067,90s,Inter-monsoon (Mar-May)
5707,1996-04-01,1996,4,Europe,CIS & Eastern Europe,3895,90s,Inter-monsoon (Mar-May)
5708,1996-04-01,1996,4,Americas,USA,30082,90s,Inter-monsoon (Mar-May)
5709,1996-04-01,1996,4,Americas,Canada,4828,90s,Inter-monsoon (Mar-May)
5710,1996-04-01,1996,4,Oceania,Australia,25767,90s,Inter-monsoon (Mar-May)
5711,1996-04-01,1996,4,Oceania,New Zealand,5551,90s,Inter-monsoon (Mar-May)
5713,1996-05-01,1996,5,Asia,Brunei,5266,90s,Inter-monsoon (Mar-May)
5714,1996-05-01,1996,5,Asia,Indonesia,72856,90s,Inter-monsoon (Mar-May)
5715,1996-05-01,1996,5,Asia,Malaysia,60156,90s,Inter-monsoon (Mar-May)
5716,1996-05-01,1996,5,Asia,Philippines,14858,90s,Inter-monsoon (Mar-May)
5717,1996-05-01,1996,5,Asia,Thailand,23901,90s,Inter-monsoon (Mar-May)
5718,1996-05-01,1996,5,Asia,Vietnam,1681,90s,Inter-monsoon (Mar-May)
5719,1996-05-01,1996,5,Asia,Japan,78901,90s,Inter-monsoon (Mar-May)
5720,1996-05-01,1996,5,Asia,Hong Kong,18752,90s,Inter-monsoon (Mar-May)
5721,1996-05-01,1996,5,Asia,"China, People's Republic Of",26045,90s,Inter-monsoon (Mar-May)
5722,1996-05-01,1996,5,Asia,Taiwan,40295,90s,Inter-monsoon (Mar-May)
5723,1996-05-01,1996,5,Asia,"Korea, Republic Of",27975,90s,Inter-monsoon (Mar-May)
5724,1996-05-01,1996,5,Asia,India,21722,90s,Inter-monsoon (Mar-May)
5725,1996-05-01,1996,5,Asia,Pakistan,3381,90s,Inter-monsoon (Mar-May)
5726,1996-05-01,1996,5,Asia,"Sri Lanka, Republic Of",3700,90s,Inter-monsoon (Mar-May)
5727,1996-05-01,1996,5,Asia,Saudi Arabia,708,90s,Inter-monsoon (Mar-May)
5728,1996-05-01,1996,5,Asia,Kuwait,226,90s,Inter-monsoon (Mar-May)
5729,1996-05-01,1996,5,Asia,United Arab Emirates,787,90s,Inter-monsoon (Mar-May)
5730,1996-05-01,1996,5,Europe,United Kingdom,20758,90s,Inter-monsoon (Mar-May)
5731,1996-05-01,1996,5,Europe,Germany,13524,90s,Inter-monsoon (Mar-May)
5732,1996-05-01,1996,5,Europe,France,5859,90s,Inter-monsoon (Mar-May)
5733,1996-05-01,1996,5,Europe,Italy,2844,90s,Inter-monsoon (Mar-May)
5734,1996-05-01,1996,5,Europe,Netherlands,4861,90s,Inter-monsoon (Mar-May)
5735,1996-05-01,1996,5,Europe,Greece,919,90s,Inter-monsoon (Mar-May)
5736,1996-05-01,1996,5,Europe,Belgium-luxembourg,1295,90s,Inter-monsoon (Mar-May)
5737,1996-05-01,1996,5,Europe,Switzerland,4435,90s,Inter-monsoon (Mar-May)
5738,1996-05-01,1996,5,Europe,Austria,1391,90s,Inter-monsoon (Mar-May)
5739,1996-05-01,1996,5,Europe,Scandinavia,4847,90s,Inter-monsoon (Mar-May)
5740,1996-05-01,1996,5,Europe,CIS & Eastern Europe,3885,90s,Inter-monsoon (Mar-May)
5741,1996-05-01,1996,5,Americas,USA,28492,90s,Inter-monsoon (Mar-May)
5742,1996-05-01,1996,5,Americas,Canada,4341,90s,Inter-monsoon (Mar-May)
5743,1996-05-01,1996,5,Oceania,Australia,25775,90s,Inter-monsoon (Mar-May)
5744,1996-05-01,1996,5,Oceania,New Zealand,5325,90s,Inter-monsoon (Mar-May)
5746,1996-06-01,1996,6,Asia,Brunei,4543,90s,Southwest Monsoon (Jun-Sept)
5747,1996-06-01,1996,6,Asia,Indonesia,106646,90s,Southwest Monsoon (Jun-Sept)
5748,1996-06-01,1996,6,Asia,Malaysia,64730,90s,Southwest Monsoon (Jun-Sept)
5749,1996-06-01,1996,6,Asia,Philippines,11724,90s,Southwest Monsoon (Jun-Sept)
5750,1996-06-01,1996,6,Asia,Thailand,18922,90s,Southwest Monsoon (Jun-Sept)
5751,1996-06-01,1996,6,Asia,Vietnam,1969,90s,Southwest Monsoon (Jun-Sept)
5752,1996-06-01,1996,6,Asia,Japan,91658,90s,Southwest Monsoon (Jun-Sept)
5753,1996-06-01,1996,6,Asia,Hong Kong,24476,90s,Southwest Monsoon (Jun-Sept)
5754,1996-06-01,1996,6,Asia,"China, People's Republic Of",11006,90s,Southwest Monsoon (Jun-Sept)
5755,1996-06-01,1996,6,Asia,Taiwan,42114,90s,Southwest Monsoon (Jun-Sept)
5756,1996-06-01,1996,6,Asia,"Korea, Republic Of",22244,90s,Southwest Monsoon (Jun-Sept)
5757,1996-06-01,1996,6,Asia,India,20141,90s,Southwest Monsoon (Jun-Sept)
5758,1996-06-01,1996,6,Asia,Pakistan,4480,90s,Southwest Monsoon (Jun-Sept)
5759,1996-06-01,1996,6,Asia,"Sri Lanka, Republic Of",3697,90s,Southwest Monsoon (Jun-Sept)
5760,1996-06-01,1996,6,Asia,Saudi Arabia,706,90s,Southwest Monsoon (Jun-Sept)
5761,1996-06-01,1996,6,Asia,Kuwait,292,90s,Southwest Monsoon (Jun-Sept)
5762,1996-06-01,1996,6,Asia,United Arab Emirates,1102,90s,Southwest Monsoon (Jun-Sept)
5763,1996-06-01,1996,6,Europe,United Kingdom,20122,90s,Southwest Monsoon (Jun-Sept)
5764,1996-06-01,1996,6,Europe,Germany,10746,90s,Southwest Monsoon (Jun-Sept)
5765,1996-06-01,1996,6,Europe,France,5188,90s,Southwest Monsoon (Jun-Sept)
5766,1996-06-01,1996,6,Europe,Italy,2730,90s,Southwest Monsoon (Jun-Sept)
5767,1996-06-01,1996,6,Europe,Netherlands,4760,90s,Southwest Monsoon (Jun-Sept)
5768,1996-06-01,1996,6,Europe,Greece,1261,90s,Southwest Monsoon (Jun-Sept)
5769,1996-06-01,1996,6,Europe,Belgium-luxembourg,1319,90s,Southwest Monsoon (Jun-Sept)
5770,1996-06-01,1996,6,Europe,Switzerland,3953,90s,Southwest Monsoon (Jun-Sept)
5771,1996-06-01,1996,6,Europe,Austria,1251,90s,Southwest Monsoon (Jun-Sept)
5772,1996-06-01,1996,6,Europe,Scandinavia,6082,90s,Southwest Monsoon (Jun-Sept)
5773,1996-06-01,1996,6,Europe,CIS & Eastern Europe,3584,90s,Southwest Monsoon (Jun-Sept)
5774,1996-06-01,1996,6,Americas,USA,32088,90s,Southwest Monsoon (Jun-Sept)
5775,1996-06-01,1996,6,Americas,Canada,4571,90s,Southwest Monsoon (Jun-Sept)
5776,1996-06-01,1996,6,Oceania,Australia,29769,90s,Southwest Monsoon (Jun-Sept)
5777,1996-06-01,1996,6,Oceania,New Zealand,6303,90s,Southwest Monsoon (Jun-Sept)
5779,1996-07-01,1996,7,Asia,Brunei,5358,90s,Southwest Monsoon (Jun-Sept)
5780,1996-07-01,1996,7,Asia,Indonesia,110503,90s,Southwest Monsoon (Jun-Sept)
5781,1996-07-01,1996,7,Asia,Malaysia,55219,90s,Southwest Monsoon (Jun-Sept)
5782,1996-07-01,1996,7,Asia,Philippines,11684,90s,Southwest Monsoon (Jun-Sept)
5783,1996-07-01,1996,7,Asia,Thailand,20151,90s,Southwest Monsoon (Jun-Sept)
5784,1996-07-01,1996,7,Asia,Vietnam,1954,90s,Southwest Monsoon (Jun-Sept)
5785,1996-07-01,1996,7,Asia,Japan,99010,90s,Southwest Monsoon (Jun-Sept)
5786,1996-07-01,1996,7,Asia,Hong Kong,28195,90s,Southwest Monsoon (Jun-Sept)
5787,1996-07-01,1996,7,Asia,"China, People's Republic Of",17949,90s,Southwest Monsoon (Jun-Sept)
5788,1996-07-01,1996,7,Asia,Taiwan,55703,90s,Southwest Monsoon (Jun-Sept)
