,date,year,month,decade,season,total_rainfall,rainy_days,daily_max_rainfall,mean_temp,mean_rh
122,1992-03-01,1992,3,90s,Inter-monsoon (Mar-May),67.6,6,35.1,28.2,80.6
123,1992-04-01,1992,4,90s,Inter-monsoon (Mar-May),160.3,13,94.7,28.4,82.4
124,1992-05-01,1992,5,90s,Inter-monsoon (Mar-May),63.1,13,13.7,28.1,83.3
125,1992-06-01,1992,6,90s,Southwest Monsoon (Jun-Sept),162.8,14,38.4,28.0,82.7
126,1992-07-01,1992,7,90s,Southwest Monsoon (Jun-Sept),290.8,19,97.3,27.3,83.8
127,1992-08-01,1992,8,90s,Southwest Monsoon (Jun-Sept),76.1,11,31.0,27.8,81.1
128,1992-09-01,1992,9,90s,Southwest Monsoon (Jun-Sept),83.6,13,17.5,27.3,82.9
129,1992-10-01,1992,10,90s,Inter-monsoon (Oct - Nov),233.2,20,45.5,27.4,82.0
130,1992-11-01,1992,11,90s,Inter-monsoon (Oct - Nov),474.3,18,120.6,26.1,87.7
131,1992-12-01,1992,12,90s,Northeast Monsoon (Dec-Feb),502.7,23,105.7,25.5,90.3
132,1993-01-01,1993,1,90s,Northeast Monsoon (Dec-Feb),176.4,11,37.2,26.2,85.7
133,1993-02-01,1993,2,90s,Northeast Monsoon (Dec-Feb),69.2,8,27.0,26.7,80.5
134,1993-03-01,1993,3,90s,Inter-monsoon (Mar-May),250.5,14,56.9,26.7,86.3
135,1993-04-01,1993,4,90s,Inter-monsoon (Mar-May),283.9,20,56.7,27.6,84.5
136,1993-05-01,1993,5,90s,Inter-monsoon (Mar-May),129.9,10,37.2,28.2,82.9
137,1993-06-01,1993,6,90s,Southwest Monsoon (Jun-Sept),115.5,17,29.4,28.5,80.9
138,1993-07-01,1993,7,90s,Southwest Monsoon (Jun-Sept),240.0,15,46.4,27.9,83.2
139,1993-08-01,1993,8,90s,Southwest Monsoon (Jun-Sept),106.8,11,53.5,28.6,79.4
140,1993-09-01,1993,9,90s,Southwest Monsoon (Jun-Sept),61.7,7,42.0,27.9,81.4
141,1993-10-01,1993,10,90s,Inter-monsoon (Oct - Nov),175.5,13,62.7,27.5,84.3
142,1993-11-01,1993,11,90s,Inter-monsoon (Oct - Nov),250.8,18,61.3,26.9,87.4
143,1993-12-01,1993,12,90s,Northeast Monsoon (Dec-Feb),308.5,19,67.6,26.5,87.4
144,1994-01-01,1994,1,90s,Northeast Monsoon (Dec-Feb),56.9,7,17.5,26.9,82.1
145,1994-02-01,1994,2,90s,Northeast Monsoon (Dec-Feb),133.5,15,26.3,27.0,84.5
146,1994-03-01,1994,3,90s,Inter-monsoon (Mar-May),288.2,19,64.2,26.8,87.1
147,1994-04-01,1994,4,90s,Inter-monsoon (Mar-May),154.0,15,46.3,27.9,84.8
148,1994-05-01,1994,5,90s,Inter-monsoon (Mar-May),169.6,16,45.1,28.1,84.8
149,1994-06-01,1994,6,90s,Southwest Monsoon (Jun-Sept),184.7,14,61.1,28.1,83.5
150,1994-07-01,1994,7,90s,Southwest Monsoon (Jun-Sept),53.8,6,17.0,28.4,78.9
151,1994-08-01,1994,8,90s,Southwest Monsoon (Jun-Sept),45.1,12,15.5,28.1,80.0
152,1994-09-01,1994,9,90s,Southwest Monsoon (Jun-Sept),23.7,6,11.3,28.3,78.7
153,1994-10-01,1994,10,90s,Inter-monsoon (Oct - Nov),84.7,11,35.4,27.9,81.5
154,1994-11-01,1994,11,90s,Inter-monsoon (Oct - Nov),322.2,21,178.3,26.7,88.4
155,1994-12-01,1994,12,90s,Northeast Monsoon (Dec-Feb),425.4,18,133.8,26.9,85.5
156,1995-01-01,1995,1,90s,Northeast Monsoon (Dec-Feb),349.4,21,108.3,26.8,86.2
157,1995-02-01,1995,2,90s,Northeast Monsoon (Dec-Feb),334.0,16,159.3,26.5,87.5
158,1995-03-01,1995,3,90s,Inter-monsoon (Mar-May),67.7,10,31.1,27.6,83.9
159,1995-04-01,1995,4,90s,Inter-monsoon (Mar-May),242.3,16,73.6,27.9,85.3
160,1995-05-01,1995,5,90s,Inter-monsoon (Mar-May),84.4,11,32.8,28.5,83.7
161,1995-06-01,1995,6,90s,Southwest Monsoon (Jun-Sept),63.7,12,45.0,28.9,81.9
162,1995-07-01,1995,7,90s,Southwest Monsoon (Jun-Sept),173.6,13,52.3,28.0,82.6
163,1995-08-01,1995,8,90s,Southwest Monsoon (Jun-Sept),211.6,21,37.9,27.4,85.6
164,1995-09-01,1995,9,90s,Southwest Monsoon (Jun-Sept),29.5,7,5.7,28.3,81.6
165,1995-10-01,1995,10,90s,Inter-monsoon (Oct - Nov),101.1,12,37.1,27.8,82.8
166,1995-11-01,1995,11,90s,Inter-monsoon (Oct - Nov),372.8,20,198.6,27.0,86.8
167,1995-12-01,1995,12,90s,Northeast Monsoon (Dec-Feb),302.5,20,55.6,26.3,86.6
168,1996-01-01,1996,1,90s,Northeast Monsoon (Dec-Feb),173.2,10,39.0,26.2,84.2
169,1996-02-01,1996,2,90s,Northeast Monsoon (Dec-Feb),180.2,11,53.0,26.5,84.6
170,1996-03-01,1996,3,90s,Inter-monsoon (Mar-May),129.7,8,61.8,27.8,81.0
171,1996-04-01,1996,4,90s,Inter-monsoon (Mar-May),178.2,15,55.7,27.8,85.5
172,1996-05-01,1996,5,90s,Inter-monsoon (Mar-May),107.5,15,18.6,28.5,83.7
173,1996-06-01,1996,6,90s,Southwest Monsoon (Jun-Sept),265.8,15,94.3,28.3,84.3
